1763299594.200406000	10.10.0.54	mjswcy3pny3d.darkc2.io
1763299594.200436000	10.10.5.67	mjswcy3pny4t.c2bad.net
1763299594.200466000	10.10.3.91	mjswcy3pnyyt.darkc2.io
1763299594.200496000	10.0.6.90	normal106.example.com
1763299594.200586000	10.10.3.95	mjswcy3pny4t.evilserver.org
1763299594.200646000	10.0.13.201	normal373.example.com
1763299594.200676000	10.0.10.96	normal70.example.com
1763299594.200706000	10.0.9.249	normal289.example.com
1763299594.200766000	10.0.6.122	normal226.example.com
1763299594.200796000	10.10.1.165	mjswcy3pny4t.darkc2.io
1763299594.200946000	10.0.4.44	normal44.example.com
1763299594.201336000	10.0.2.100	normal122.example.com
1763299594.201366000	10.10.3.77	mjswcy3pny3t.evilserver.org
1763299594.201396000	10.10.8.140	mjswcy3pny3d.c2bad.net
1763299594.201636000	10.10.1.149	mjswcy3pny3d.evilserver.org
1763299594.201696000	10.0.5.227	normal145.example.com
1763299594.201726000	10.10.6.188	mjswcy3pny2d.darkc2.io
1763299594.201846000	10.0.6.152	normal26.example.com
1763299594.202206000	10.10.7.157	mjswcy3pny2t.c2bad.net
1763299594.202236000	10.10.2.108	mjswcy3pny4t.evilserver.org
1763299594.202296000	10.10.7.151	mjswcy3pny2d.evilserver.org
1763299594.202356000	10.10.6.128	mjswcy3pny4t.c2bad.net
1763299594.202386000	10.10.9.79	mjswcy3pnyzd.evilserver.org
1763299594.202416000	10.10.9.111	mjswcy3pny4d.evilserver.org
1763299594.202596000	10.0.9.187	normal49.example.com
1763299594.202836000	10.0.4.132	normal264.example.com
1763299594.202866000	10.10.4.218	mjswcy3pny3d.darkc2.io
1763299594.202896000	10.10.0.132	mjswcy3pnyzd.evilserver.org
1763299594.202986000	10.10.7.173	mjswcy3pnyzd.c2bad.net
1763299594.203106000	10.10.5.229	mjswcy3pny2d.evilserver.org
1763299594.203166000	10.0.19.49	normal299.example.com
1763299594.203286000	10.10.3.229	mjswcy3pny3t.c2bad.net
1763299594.203556000	10.10.2.146	mjswcy3pnyyt.c2bad.net
1763299594.203796000	10.0.4.28	normal124.example.com
1763299594.203916000	10.0.0.200	normal160.example.com
1763299594.203946000	10.10.4.44	mjswcy3pny2d.darkc2.io
1763299594.204006000	10.10.1.113	mjswcy3pny3t.c2bad.net
1763299594.204066000	10.10.8.42	mjswcy3pnyzd.darkc2.io
1763299594.204156000	10.10.7.145	mjswcy3pnyyt.darkc2.io
1763299594.204216000	10.10.3.93	mjswcy3pnyzt.darkc2.io
1763299594.204426000	10.0.10.208	normal90.example.com
1763299594.204576000	10.10.2.0	mjswcy3pny4d.c2bad.net
